Year,Manufacturing,"Mining, Quarrying, and Oil and Gas Extraction","Agriculture, Forestry, Fishing_and_Hunting",Construction,Utilities
2000,1426,103,14,53,5
2001,2137,126,19,60,16
2002,2039,125,15,44,19
2003,2085,175,38,49,20
2004,2167,130,15,69,17
2005,2271,146,34,59,18
2006,2550,128,22,76,26
2007,2871,218,22,87,18
2008,3155,364,12,82,16
2009,3086,319,24,89,16
2010,3044,253,39,96,38
2011,3275,313,20,83,43
2012,3247,269,46,132,42
2013,3382,266,25,90,66
2014,3544,239,16,129,34
2015,3268,150,25,73,44
2016,2849,149,29,63,17
2017,2286,102,29,79,17
