Year,Food Manufacturing,Crop Production,Beverage and Tobacco Product Manufacturing,"Fishing, Hunting and Trapping",Animal Production and Aquaculture,Wood Product Manufacturing,Computer and Electronic Product Manufacturing,Support Activities for Agriculture and Forestry,Computer and Electronic Product Manufacturing,Support Activities for Agriculture and Forestry,Oil and Gas Extraction,Nonmetallic Mineral Product Manufacturing,Support Activities for Mining,Construction of Buildings,Utilities,Heavy and Civil Engineering Construction,Petroleum and Coal Products Manufacturing,"Mining_""except Oil and Gas""",Specialty Trade Contractors,"Electrical Equipment, Appliance, and Component Manufacturing",Chemical Manufacturing,Textile Mills,Apparel Manufacturing,Leather and Allied Product Manufacturing,Transportation Equipment Manufacturing,Paper Manufacturing,Printing and Related Support Activities,Plastics and Rubber Products Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,Furniture and Related Product Manufacturing,Miscellaneous Manufacturing,Textile Product Mills
1997,42,8,12,7,35,2,136,4,136,4,85,34,213,98,29,1,53,8,4,18,86,1,4,8,86,4,0,52,21,52,46,7,51,0
1998,90,7,11,5,38,5,180,1,180,1,40,52,313,104,13,10,40,15,7,16,94,3,5,12,56,11,2,33,25,16,56,10,66,0
1999,72,31,8,14,53,8,185,0,185,0,52,56,296,95,11,5,45,6,10,25,148,0,3,3,68,18,0,35,12,25,59,13,66,0
2000,102,11,9,4,96,5,244,5,244,5,30,34,439,107,12,4,21,13,14,63,83,0,7,11,64,16,3,27,14,27,51,7,71,2
2001,116,20,19,11,137,5,416,0,416,0,53,104,530,139,33,15,36,31,48,90,98,5,8,20,101,18,3,58,30,35,68,19,89,7
2002,113,7,21,8,128,2,395,1,395,1,61,86,560,123,28,8,24,49,23,73,107,0,16,15,77,8,3,59,20,57,59,17,92,0
2003,100,12,12,18,158,10,337,3,337,3,42,121,676,138,38,8,43,21,13,76,85,1,5,20,84,13,0,50,25,73,63,19,92,0
2004,93,4,13,6,120,3,447,4,447,4,107,90,650,162,30,10,19,41,17,88,77,0,2,9,59,13,0,77,27,56,71,15,83,0
2005,76,21,6,8,132,8,433,5,433,5,84,95,767,124,38,15,27,44,25,76,133,0,10,6,60,18,0,56,21,41,93,10,93,1
2006,87,12,22,8,140,3,460,2,460,2,84,141,815,231,42,4,28,30,22,62,135,0,8,9,66,18,2,97,11,54,82,16,109,0
